,contentsid,title,roadaddress,tag,introduction,latitude,longitude,contentscd.label,phoneno,repPhoto.photoid.imgpath,repPhoto.photoid.thumbnailpath,인기점수,tag_len,popular_tag,len
2839,CNTS_000000000019381,제주도푸른바다,제주도 제주시 구좌읍 별방길 109,"['휴식', '숙소', '펜션', '휴양펜션', '해수욕장', '단체여행객', '독채', '자연경관']",세화해수욕장 옆에 위치한 단지형 펜션,33.527466,126.87913,숙박,064-782-7788,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/c9f2aa7d-2b8d-4c03-be39-e16c5284cf84.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/5c9f6b01-020d-4411-ae7e-9818f49b1b1b.jpg,30885.0,32,"숙소,휴식,펜션,휴양펜션,해수욕장,자연경관,단체여행객,독채",32
1673,CNTS_000000000018159,씨에스호텔앤리조트,제주특별자치도 서귀포시 중문관광로 198,"['호텔', '5성급호텔', '숙소', '리조트', '자연경관', '해변', '공공와이파이존', '양식레스토랑', '주차장', '정원', '안전여행스탬프']",현대와 전통이 어우러진 단독 별장형 객실 호텔앤리조트,33.242905,126.42043,숙박,064-735-3000,https://api.cdn.visitjeju.net/photomng/imgpath/202205/30/d55d3866-e86b-4d9a-98e2-50d623052986.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202205/30/9cb9d282-0877-450c-b263-516d91c5afe1.jpg,29514.0,53,"호텔,숙소,양식레스토랑,정원,주차장,해변,자연경관,리조트,공공와이파이존",39
3329,CNTS_000000000000596,마레보 리조트,제주특별자치도 제주시 애월읍 신엄안3길 135,"['리조트', '숙소', '4성급호텔', '수영장', '휴양콘도', '해안도로', '조식', '바비큐', '가족', '가족호텔']",애월바다를 마주보는 언덕에 위치한 리조트,33.47147,126.35424,숙박,064-799-2088,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/176011cd-a6f1-496e-bed5-9da3e77f7a42.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/96f0bc51-8615-4488-a69c-ce01824b025f.jpg,28752.0,41,"휴양콘도,숙소,조식,가족호텔,바비큐,가족,해안도로,수영장,리조트",35
1069,CONT_000000000500861,르페도라,제주특별자치도 서귀포시 남원읍 신례중앙로 6,"['펜션', '휴양펜션', '돌담길', '스파', '수영장', '공공와이파이존', '가족', '정원', '자연경관']",남원읍에 위치한 10객실 각각 다른 테마로 구성된 휴양펜션,33.289192,126.62941,숙박,067-732-7002,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/faf48e1b-5bd4-4e2a-8a34-4d16c4d283b8.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/2d697c5e-b7b0-40a2-a478-33d77eb3c6cf.jpg,26031.0,37,"정원,펜션,휴양펜션,가족,자연경관,수영장,공공와이파이존",30
3391,CONT_000000000500869,메종글래드 제주,제주특별자치도 제주시 노연로 80,"['호텔', '5성급호텔', '공공와이파이존', '양식레스토랑', '수영장', '주차장']",교통과 문화의 중심 신제주에 위치한 특1급 호텔,33.484756,126.48871,숙박,064-747-5000,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/835bb91b-f4d3-42dc-9187-89362479fe89.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/6eda9108-0da6-440e-b17a-37873c3913da.jpg,24864.0,31,"호텔,양식레스토랑,주차장,수영장,공공와이파이존",25
3160,CNTS_200000000007048,한화리조트 제주,"제주특별자치도 제주시 명림로 575-107 (회천동, 한화리조트) 한화리조트 제주","['콘도', '숙소', '리조트', '주차장', '공공와이파이존', '양식레스토랑']",제주의 자연을 품고 있는 한화리조트 제주 입니다.,33.4489935,126.63741200000004,숙박,064-725-9000,https://api.cdn.visitjeju.net/photomng/imgpath/201806/19/2410b739-3ccc-451f-adb9-bb06fa44ed62.JPG,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201806/19/d32128ab-c168-4c65-ab11-a9a7400a294b.JPG,24204.0,28,"숙소,양식레스토랑,주차장,리조트,공공와이파이존",25
898,CNTS_000000000020841,야호비치하우스,제주특별자치도 제주시 조천읍 조함해안로 582,"['휴식', '숙소', '펜션', '휴양펜션', '해변', '공공와이파이존', '해수욕장', '수상레저', '자연경관', '올레길', '체험']",함덕 서우봉 해변에 위치한 감각적인 디자인과 해변 경치가 매력적인 곳,33.531406,126.66637,숙박,064-782-5853,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/9a4048bb-15d0-43d3-90c7-4b713cbd0775.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/938af916-bfdb-401d-877f-5bd2c1612e84.jpg,23140.0,46,"체험,숙소,휴식,수상레저,펜션,휴양펜션,해변,해수욕장,자연경관,공공와이파이존",42
1397,CNTS_000000000018143,라마다프라자제주호텔,제주특별자치도 제주시 탑동로 66,"['호텔', '5성급호텔', '숙소', '게스트하우스', '공공와이파이존', '주차장', '자연경관', '해변', '수영장', '관광호텔']",언제 어디서나 바다가 보이는 풍경 호텔. ,33.5185924,126.5175016,숙박,064-729-8100,https://api.cdn.visitjeju.net/photomng/imgpath/201904/26/c858a734-9f81-4e53-8a44-a26a471a8a18.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201904/26/f6e9f92f-1465-472d-9497-34c7c435a8f4.jpg,21425.0,47,"호텔,게스트하우스,숙소,주차장,해변,자연경관,수영장,공공와이파이존,관광호텔",41
1757,CNTS_000000000020160,inn jeju 인제주 게스트하우스,제주특별자치도 제주시 한림읍 명월성로 137-14,"['휴식', '숙소', '게스트하우스', '공공와이파이존', '카페', '주차장', '해수욕장', '수상레저', '계곡', '수영장', '고향민박', '정원', '조식', '독채', '펜션', '가족']",멋스러운 한적함이 있는 곳,33.39609,126.26452,숙박,010-2979-5650,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/fc29c072-4bc7-46b9-a03f-519cd2453fbb.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/0b246c42-5dca-4855-ae37-3a04044b23bf.jpg,21263.0,64,"게스트하우스,숙소,휴식,고향민박,조식,정원,수상레저,펜션,가족,카페,주차장,해수욕장,수영장,독채,공공와이파이존",61
4156,CNTS_000000000020146,객의하우스,제주특별자치도 제주시 한림읍 한림로 381-3,"['휴식', '숙소', '게스트하우스', '주차장', '공공와이파이존', '온돌방']",커다란 창문을 통해 비양도의 노을을 만날 수 있는 곳,33.396717,126.24342,숙박,010-3013-3414,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/e06222a7-f95c-4d17-8ce7-92aa9d2780fb.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/74eebab3-5f7d-448b-a0a6-e2ef5251be13.jpg,20615.0,28,"온돌방,게스트하우스,숙소,휴식,주차장,공공와이파이존",28
2770,CONT_000000000500926,서귀포KAL호텔,제주특별자치도 서귀포시 칠십리로 242,"['호텔', '5성급호텔', '숙소', '주차장', '정원', '해변', '자연경관', '양식레스토랑', '연회장', '부대시설', '비즈니스센터', '산책로', '바비큐', '축제', '관광호텔']",칠십리 해안가에 위치한 자연 친화형 패밀리 리조트,33.24653,126.58174,숙박,064-733-2001,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/efa244ec-9e5e-455f-8db6-56e86e10bd7a.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/e0328a92-5e73-44dd-a575-a4b949c8e0cf.jpg,20396.0,65,"호텔,숙소,양식레스토랑,정원,바비큐,주차장,해변,자연경관,관광호텔",36
1137,CNTS_000000000018424,수상한소금밭게스트하우스,제주특별자치도 제주시 구좌읍 종달동길 36-10,"['게스트하우스', '숙소', '펜션', '공공와이파이존', '조식', '힐링쉼터']",구좌읍 종달리에 위치한 게스트하우스,33.490444,126.90256,숙박,010-8933-0848,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/6c1e2baa-f375-48d7-b996-d463d92bef53.gif,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/c974ea63-f347-43ef-8227-6d1d10f3542d.gif,20026.0,28,"게스트하우스,숙소,조식,힐링쉼터,펜션,공공와이파이존",28
3226,CNTS_000000000018160,신라스테이 제주,제주특별자치도 제주시 노연로 100,"['호텔', '숙소', '4성급호텔', '공공와이파이존', '주차장', '양식레스토랑', '패키지관광', '관광호텔']",제주시내에 위치한 호텔신라의 프리미엄 비지니스 호텔 브랜드,33.48558,126.49097,숙박,064-717-9000,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/ac61db84-62c4-4bac-aef9-483ad14f6533.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/15f4cdbd-acc8-4873-8b78-958db0a733d2.jpg,19371.0,41,"호텔,숙소,양식레스토랑,주차장,공공와이파이존,관광호텔",29
3070,CONT_000000000501100,포도호텔,제주특별자치도 서귀포시 안덕면 산록남로 863,"['호텔', '숙소', '4성급호텔', '공공와이파이존', '비즈니스센터', '정원', '노천온천', '스파', '포토스팟', '제주명품42', '제주7대건축물', '안전여행스탬프']",알알이 맺힌 제주의 아름다움,33.315998,126.38764,숙박,064-792-8000,https://api.cdn.visitjeju.net/photomng/imgpath/202205/30/342ae47b-8438-486e-aceb-28e8c70ce0ff.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202205/30/3fa424e9-cb29-4428-a926-10ac76c97b9a.jpg,19310.0,65,"호텔,정원,숙소,공공와이파이존",16
1931,CONT_000000000501043,제주bp게스트하우스 JEJU BP GUESTHOUSE,제주특별자치도 제주시 신대로17길 29,"['휴식', '게스트하우스', '숙소', '주택(주거)지역', '정원']","Jeju Best Place Back Packers Home,도심속의 숲속정원 게스트하우스, 하루를 묵더라도 힐링되는 공간!",33.4846776,126.4994716,숙박,010-9283-7555,https://api.cdn.visitjeju.net/photomng/imgpath/201912/17/34c2b73d-7384-4bea-82fc-44572f2c4260.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201912/17/1efcce4b-d627-438a-87db-e99892c200fa.jpg,19033.0,24,"정원,게스트하우스,숙소,휴식",15
2552,CNTS_000000000021480,아이비테라스,제주특별자치도 서귀포시 법환상로 65,"['숙소', '휴양펜션', '펜션', '해수욕장', '공공와이파이존']",한폭의 그림 같은 서귀포 앞바다와 범섬을 바라보며 편안한 휴식을,33.24061,126.510025,숙박,064-738-6896,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/ddb38e0c-9eef-40d6-864a-08c1e42324ed.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/c18aee90-ea7e-4afd-b3d2-f53baa8836b9.jpg,18812.0,23,"숙소,펜션,휴양펜션,해수욕장,공공와이파이존",23
1480,CNTS_000000000020530,비젠빌리지,제주특별자치도 제주시 구좌읍 하도9길 72,"['휴식', '숙소', '펜션', '휴양펜션', '수영장', '체험', '해수욕장', '수상레저', '가족', '독채', '단체여행객', '바비큐']",숙박을 넘어 복합 문화 공간을 제공하다,33.511555,126.89074,숙박,064-784-8216,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/d7b6f082-3db2-4239-b19f-ef7480fe471a.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/d82adf16-9132-4acd-a6d2-ae3820f2f838.jpg,17528.0,46,"체험,숙소,휴식,수상레저,펜션,휴양펜션,바비큐,가족,해수욕장,수영장,단체여행객,독채",46
3121,CONT_000000000500987,오션스위츠호텔 제주,제주특별자치도 제주시 탑동해안로 74,"['호텔', '우수관광사업체', '숙소', '4성급호텔', '자연경관', '해변', '공공와이파이존', '양식레스토랑', '주차장', '환전']",아름다운 제주의 바다와 바로 인접해 있으며 편리한 교통의 요지에 위치한 호텔,33.51823,126.52317,숙박,064-720-6000,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/ceb843ca-fe66-4561-a405-9aad1b126419.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/6787bc58-ce55-4466-ad94-943b35da76f4.jpg,17464.0,49,"호텔,숙소,양식레스토랑,주차장,해변,자연경관,공공와이파이존",32
418,CNTS_000000000020192,메종드오조락,제주특별자치도 서귀포시 성산읍 오조로 140,"['휴식', '숙소', '게스트하우스', '공공와이파이존', '자연경관', '카페', '주차장', '조식']",나를 비춰보는 즐거움이 있는 곳,33.45794,126.8903,숙박,010-3042-4197,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/d7824b7f-9a54-4e8b-b3b7-690fed44af35.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/b0f08118-c970-4f3a-9df8-9ff521014c62.jpg,17106.0,35,"게스트하우스,숙소,휴식,조식,카페,주차장,자연경관,공공와이파이존",35
2413,CNTS_000000000021981,히든클리프 호텔 앤 네이쳐,제주특별자치도 서귀포시 예래해안로 542,"['휴식', '5성급호텔', '숙소', '호텔', '공공와이파이존', '수영장', '주차장', '관광호텔']",원시림 속에 위치하는 국내 최장 인피니티풀이 있는 호텔,33.254364,126.40315,숙박,064-752-7777,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/959997ca-c4c3-4003-8492-f461ffb5d15f.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/56462b2a-580b-4646-9ef5-df98fabded4c.jpg,16950.0,35,"호텔,숙소,휴식,주차장,수영장,공공와이파이존,관광호텔",29
3171,CONT_000000000500901,베이힐 풀앤빌라,제주특별자치도 서귀포시 예래로 424,"['콘도', '리조트', '휴양콘도', '주차장', '공공와이파이존', '무장애여행', '편의시설', '풀빌라']",서귀포시 하예동에 위치한 빌라형 레지던스 호텔,33.24512,126.38528,숙박,064-801-9000,https://api.cdn.visitjeju.net/photomng/imgpath/201901/28/d2d54fe8-4383-45ef-9605-4b87b1664883.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201901/28/06cac570-4133-4b54-876e-a0ffaaee1888.jpg,16892.0,38,"휴양콘도,리조트,공공와이파이존,주차장",20
3488,CNTS_000000000022770,랜딩관 제주신화월드 호텔앤리조트,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,"['5성급호텔', '숙소', '호텔', '리조트', '공공와이파이존', '양식레스토랑', '주차장', '발렛파킹', '관광호텔']","스마트하게 누리는 최상의 서비스, 랜딩 리조트. ",33.3017501,126.3206458,숙박,1670-8800,https://api.cdn.visitjeju.net/photomng/imgpath/201903/06/91b0eb9f-4409-4650-bb26-7f8b6ec67744.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201903/06/4c23963b-d156-428c-bee1-f9d211a9f0e3.jpg,15541.0,44,"호텔,숙소,양식레스토랑,주차장,리조트,공공와이파이존,관광호텔",33
3954,CNTS_000000000021285,롯데리조트아트빌라스,제주특별자치도 서귀포시 색달중앙로252번길 124,"['휴식', '숙소', '리조트', '공공와이파이존', '수영장', '주차장', '독채']",제주의 자연을 담은 건축,33.289387,126.4132,숙박,064-731-9111,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/e1b92409-ed8d-4053-84e3-5f64d0b876c4.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/0bd3dd57-2b03-4e01-b8db-1cd9fb21506e.jpg,15236.0,28,"숙소,휴식,주차장,수영장,독채,리조트,공공와이파이존",28
421,CONT_000000000500957,아름다운리조트,제주특별자치도 서귀포시 성산읍 해맞이해안로 2644,"['리조트', '숙소', '휴양콘도', '주차장', '공공와이파이존', '무장애여행', '편의시설', '가족호텔']","올레1코스의 중심에 위치하여 오른쪽으로는 성산일출봉과 우도가, 왼쪽으로는 종달리해안도로가 있는 곳",33.47583,126.90991,숙박,064-782-1300,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/c0abf682-3389-42ce-967c-1c9bc816320d.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/11eed429-493b-4b5e-a842-39c75630cf43.jpg,15039.0,39,"휴양콘도,숙소,가족호텔,주차장,리조트,공공와이파이존",28
1474,CONT_000000000501036,제주도푸른산푸른바다,제주특별자치도 제주시 구좌읍 일주동로 3421,"['게스트하우스', '민박', '자연경관', '고향민박', '주방기구']",동부 여행의 길목에 있는 숙소,33.51804,126.88356,숙박,010-7528-9654,https://api.cdn.visitjeju.net/photomng/imgpath/201912/17/974aafb0-5571-48a8-9729-0711a151075a.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201912/17/395f030c-cf93-4a73-9914-e485793e3b5a.jpg,15011.0,24,"민박,게스트하우스,고향민박,주방기구,자연경관",24
2652,CNTS_000000000021904,베스트웨스턴제주호텔,제주특별자치도 제주시 도령로 27,"['호텔', '숙소', '공공와이파이존', '양식레스토랑', '주차장', '환전', '비즈니스센터', '4성급호텔', '가족호텔']",제주 시내에 위치한 세계 최대 체인브랜드 비지니스 호텔,33.487797,126.481895,숙박,064-797-6000,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/f35b7a40-428c-4ac9-bf72-a00561c1d9fe.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/25a9172c-cc28-445a-b442-c38c8c3dab05.jpg,14670.0,45,"호텔,숙소,양식레스토랑,가족호텔,주차장,공공와이파이존",29
903,CONT_000000000500762,켄싱턴리조트 제주 한림점,제주특별자치도 제주시 한림읍 한림해안로 530,"['휴식', '숙소', '리조트', '휴양콘도', '주차장', '박물관', '자연경관', '온돌방', '가족', '조식']","제주시 서부, 한림해안로에 위치한 50개 객실의 소형리조트",33.43582,126.27453,숙박,064-796-9600,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/70342447-3725-48ae-a64d-fcab1d364b1c.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/4758a647-7b71-4b6d-8286-91396fd9b897.jpg,14653.0,37,"온돌방,휴양콘도,숙소,휴식,조식,가족,주차장,자연경관,리조트",33
3113,CNTS_000000000022132,플레이스 캠프 제주,제주특별자치도 서귀포시 성산읍 동류암로 20,"['호텔', '숙소', '캠핑', '자연경관', '공공와이파이존', '양식레스토랑', '주차장', '힐링', '언택트', '관광호텔']",다채로운 즐거움을 머금은 공간,33.449944,126.91838,숙박,064-766-3000,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/9a6e5c09-5e01-40f6-860b-849a9deb2110.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/32d633b1-4775-49ec-bb73-a7f5a347fc10.jpg,14079.0,44,"호텔,숙소,힐링,양식레스토랑,주차장,자연경관,공공와이파이존,관광호텔",37
1336,CNTS_200000000008672,틸다하우스,제주특별자치도 제주시 한경면 중산간서로 3367-1,"['휴식', '숙소', '바비큐', '조식', '해수욕장', '공공와이파이존']",아이와 함께 제주의 자연을 체험하며 아이와 함께 할 수 있는 가족펜션. ,33.3109,126.2372213,숙박,064-773-0033,https://api.cdn.visitjeju.net/photomng/imgpath/201905/09/f12b29c5-3d5a-4d09-9dc6-8ac4406ec2c2.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201905/09/d59281a5-8ca4-4231-97e7-73436be4f5ec.jpg,13753.0,25,"숙소,휴식,조식,바비큐,해수욕장,공공와이파이존",25
2818,CNTS_000000000022330,골든튤립 제주 성산호텔,제주특별자치도 서귀포시 성산읍 일출로 31,"['호텔', '숙소', '공공와이파이존', '수영장', '주차장', '힐링', '4성급호텔']",객실에서 유네스코 자연유산 성산일출봉을 볼 수 있는 호텔,33.4479486,126.9162124,숙박,064-744-7500,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/5c2dea25-1768-4909-bfc8-125f3efcdde3.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/0e07413f-ae95-4fc0-b199-3bd064443516.jpg,13115.0,30,"호텔,숙소,힐링,주차장,수영장,공공와이파이존",24
2955,CNTS_000000000020789,대명 샤인빌리조트,제주특별자치도 서귀포시 표선면 일주동로 6347-17,"['휴식', '숙소', '리조트', '휴양콘도', '주차장', '자연경관', '조식', '수영장', '대명리조트']",표선에 위치한 이국적인 느낌의 리조트,33.305634,126.79212,숙박,064-780-7000,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/af0992c0-86a1-4bbf-bf28-9c65a1285868.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/86428685-d836-4948-b388-af3c20eed5f6.jpg,12854.0,36,"휴양콘도,숙소,휴식,조식,주차장,자연경관,수영장,리조트",30
2842,CONT_000000000500836,돈내코힐 리조트,제주특별자치도 서귀포시 돈내코로 180,"['호스텔', '숙소', '리조트', '휴양콘도', '주차장', '공공와이파이존', '스파']",한라산 조망과 노천 스파가 가능한 리조트,33.300594,126.58511,숙박,064-762-8400,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/a71255b1-44e2-4092-a17e-06f1f7bfeaa5.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/e29db189-0ef4-4d57-9a4a-44f9f95ba5e7.jpg,12576.0,30,"휴양콘도,숙소,주차장,리조트,공공와이파이존",23
